city,country,lat,lng,alliance
Mimon,Czech Republic,50.616667,14.733333,WarsawPact
Pardubice VI,Czech Republic,50.016667,15.733333,WarsawPact
Prague ,Czech Republic,50.116667,14.55,WarsawPact
Prague ,Czech Republic,50.1,14.283333,WarsawPact
Prerov,Czech Republic,49.433333,17.4,WarsawPact
Slapanice,Czech Republic,49.15,16.7,WarsawPact
Vodochody,Czech Republic,50.216667,14.4,WarsawPact
Zatec,Czech Republic,50.366667,13.583333,WarsawPact
Bratislava/Ivanka,Czech Republic,49.166667,17.2,WarsawPact
Aste,Estonia,58.366667,22.45,USSR
Kudjape,Estonia,58.25,22.516667,USSR
Monnuste,Estonia,58.3,22.266667,USSR
Paldiski/Klooga,Estonia,59.316667,24.266667,USSR
Paldiski/Vasalemma,Estonia,59.266667,24.216667,USSR
Parnu,Estonia,58.4,24.483333,USSR
Poltsamaa,Estonia,58.65,25.933333,USSR
Rakvere,Estonia,59.366667,26.35,USSR
Tallin,Estonia,59.45,24.833333,USSR
Tallin,Estonia,59.416667,24.8,USSR
Tapa,Estonia,59.233333,25.95,USSR
Tartu,Estonia,58.4,26.766667,USSR
Valga,Estonia,57.766667,26.1,USSR
Vohma,Estonia,58.65,25.583333,USSR
Voru Parish,Estonia,57.916667,26.983333,USSR
Haapsalu,Estonia,58.9,23.5,USSR
Kuusiku,Estonia,58.966667,24.683333,USSR
Batumi,Georgia,41.6,41.6,USSR
Gudauta,Georgia,43.1,40.583333,USSR
Kobuleti,Georgia,41.833333,41.8,USSR
Makharadze,Georgia,41.933333,41.883333,USSR
Mikha Tskhakaya,Georgia,42.233333,42.05,USSR
Samtredia E.,Georgia,42.183333,42.466667,USSR
Samtredia N.,Georgia,42.25,42.333333,USSR
Sartichala,Georgia,41.7,45.166667,USSR
Tbilisi,Georgia,41.75,44.833333,USSR
Tbilisi/Agtaglya,Georgia,41.583333,44.95,USSR
Tbilisi/Orkhevi,Georgia,41.666667,44.95,USSR
Tbilisi/Sandar,Georgia,41.466667,44.783333,USSR
Tbilisi/Soganlug,Georgia,41.65,44.933333,USSR
Tbilisi/Vaziani,Georgia,41.633333,45.033333,USSR
Tsnoristskali,Georgia,41.616667,46.1,USSR
Tulukidze,Georgia,42.316667,42.4,USSR
Kutaisi,Georgia,42.266667,42.65,USSR
West Kutaisi,Georgia,42.25,42.633333,USSR
Aachen,Germany,51.85,12.05,WarsawPact
Alt Lonnewitz,Germany,51.55,13.216667,WarsawPact
Altenburg ,Germany,50.983333,12.5,WarsawPact
Aschersleben,Germany,51.75,11.4666667,WarsawPact
Barth,Germany,54.333333,12.716667,WarsawPact
Berlin,Germany,52.5166667,13.4,WarsawPact
Bernau,Germany,52.6666667,13.6,WarsawPact
Bernburg,Germany,51.8,11.7333333,WarsawPact
Brandis,Germany,51.333333,12.65,WarsawPact
Briesen,Germany,52.033333,13.75,WarsawPact
